Food,Taste,Combination
Masala Dosa,"Savory, Crispy, Warm",enjoyed with Sambar (Savory) and Coconut Chutney (Savory)
Butter Chicken,"Savory, Creamy, Hot",enjoyed with Naan (Neutral) or Rice (Neutral)
Rogan Josh,"Spicy, Tender, Hot",enjoyed with Naan (Neutral) or Rice (Neutral).
Pani Puri,"Tangy, Crispy, Cold",enjoyed with Spicy Mint Water (Spicy) and Tamarind Chutney (Sour)
Biryani,"Spicy, Fragrant, Hot", enjoyed with Raita (Cooling) or Mirchi Ka Salan (Spicy)
Chole Bhature,"Spicy, Fluffy, Hot",enjoyed with Pickled Onions (Sour) and Mint Chutney (Spicy)
Pav Bhaji,"Spicy, Creamy, Hot",enjoyed with Buttered Pav (Neutral) and Lemon Wedges (Sour)
Vada Pav,"Spicy, Crispy, Warm",enjoyed with Green Chutney (Spicy) and Garlic Chutney (Spicy)
Chicken Tikka,"Spicy, Juicy, Hot",enjoyed with Mint Chutney (Spicy) and Onion Rings (Neutral)
Tandoori Chicken,"Spicy, Smoky, Hot",enjoyed with Mint Chutney (Spicy) and Onion Rings (Neutral)
Aloo Paratha,"Spicy, Soft, Warm",enjoyed with Yogurt (Sour) and Pickle (Sour)
Samosa,"Spicy, Crispy, Warm",enjoyed with Tamarind Chutney (Sour) and Mint Chutney (Spicy)
Rajma Chawal,"Savory, Creamy, Hot",enjoyed with Pickled Onions (Sour) or Salad (Neutral)
Dhokla,"Tangy, Spongy, Warm",enjoyed with Green Chutney (Spicy) and Tamarind Chutney (Sour)
Poha,"Savory, Fluffy, Warm",enjoyed with Sev (Crunchy) and Lemon Wedges (Sour).
Gulab Jamun,"Sweet, Soft, Warm",enjoyed with Vanilla Ice Cream (Cold) or Rabri (Creamy)
Jalebi,"Sweet, Crispy, Warm",enjoyed with Rabri (Creamy) or Fafda (Savory)
Rasgulla,"Sweet, Spongy, Cold",enjoyed with Rose Syrup (Sweet) or Saffron Milk (Creamy).
Lassi,"Sweet, Creamy, Cold",enjoyed with Mango Pulp (Sweet) or Rose Water (Sweet)
Idli,"Savory, Soft, Warm",enjoyed with Sambar (Savory) and Coconut Chutney (Savory)
Upma,"Savory, Gritty, Warm",enjoyed with Coconut Chutney (Savory) and Lemon Wedges (Sour)
Mysore Pak,"Sweet, Fudge-like, Warm",enjoyed with Ghee (Rich) and Cardamom Powder (Aromatic)
Payasam,"Sweet, Creamy, Warm",enjoyed with Cashews (Crunchy) and Raisins (Chewy)
Chicken Curry,"Spicy, Tender, Hot",enjoyed with Rice (Neutral) or Roti (Neutral)
Fish Curry,"Spicy, Tangy, Hot",enjoyed with Rice (Neutral) or Appam (Spongy).
Palak Paneer,"Savory, Creamy, Hot",enjoyed with Naan (Neutral) or Rice (Neutral).
Tandoori Roti,"Neutral, Soft, Warm",enjoyed with Dal Makhani (Creamy) or Paneer Tikka (Spicy)
Chicken Biryani,"Spicy, Fragrant, Hot",enjoyed with Raita (Cooling) or Mirchi Ka Salan (Spicy)
Papdi Chaat,"Tangy, Crunchy, Cold",enjoyed with Tamarind Chutney (Sour) and Mint Chutney (Spicy)
Chicken 65,"Spicy, Crispy, Hot",enjoyed with Onion Slices (Neutral) and Lemon Wedges (Sour).
Bhindi Masala,"Savory, Tender, Hot",enjoyed with Roti (Neutral) or Rice (Neutral)
Aloo Gobi,"Spicy, Soft, Warm",enjoyed with Roti (Neutral) or Rice (Neutral)
Paneer Tikka Masala,"Spicy, Creamy, Hot",enjoyed with Naan (Neutral) or Rice (Neutral).
Chana Masala,"Spicy, Creamy, Hot",enjoyed with Bhature (Fluffy) or Poori (Fluffy).
Kofta Curry,"Savory, Soft, Hot",enjoyed with Naan (Neutral) or Rice (Neutral).
Malai Kofta,"Creamy, Soft, Hot",enjoyed with Naan (Neutral) or Rice (Neutral).
Aloo Tikki,"Spicy, Crispy, Warm",enjoyed with Mint Chutney (Spicy) and Tamarind Chutney (Sour).
Chicken Korma,"Spicy, Creamy, Hot",enjoyed with Naan (Neutral) or Rice (Neutral) or Pulao (Fragrant).
Dahi Vada,"angy, Soft, Cold",enjoyed with Tamarind Chutney (Sour) and Green Chutney (Spicy).
Chicken Pakora,"Spicy, Crispy, Hot",enjoyed with Mint Chutney (Spicy) and Onion Rings (Neutral).
Malai Kulfi,"Sweet, Creamy, Cold",enjoyed with Falooda (Chewy) or Rabri (Creamy).
Chole Kulche,"Spicy, Soft, Hot",enjoyed with Pickled Onions (Sour) and Green Chilies (Spicy)
Mutton Curry,"Spicy, Tender, Hot",enjoyed with Rice (Neutral) or Paratha (Spicy).
Tandoori Fish:,"Spicy, Smoky, Hot",enjoyed with Mint Chutney (Spicy) and Onion Rings (Neutral).
Bhel Puri,"Tangy, Crunchy, Cold",enjoyed with Tamarind Chutney (Sour) and Sev (Crunchy).
Kathi Roll:,"Spicy, Flaky, Warm",enjoyed with Mint Chutney (Spicy) and Onion Rings (Neutral).
Aloo Samosa,"Spicy, Crispy, Warm",enjoyed with Tamarind Chutney (Sour) and Mint Chutney (Spicy).
Palak Pakora,"Spicy, Crispy, Hot",enjoyed with Mint Chutney (Spicy) and Tamarind Chutney (Sour).
,,
Ras Malai,"Sweet, Creamy, Cold",enjoyed with Saffron (Aromatic) or Cardamom (Aromatic).
Vindaloo,"spicy, tangy, hot ",enjoyed with Steamed Rice (Neutral) or Puri (Fluffy).
Mutton Biryani,"spicy, fragrant, hot",enjoyed with Raita (Cooling) or Mirchi Ka Salan (Spicy).
Papadum,"crunchy, savory, warm",enjoyed with Mint Chutney (Spicy) and Mango Chutney (Sweet).
